date,KOSPI지수,거래대금
2026-05-21,7815.59,43187054
2026-05-22,7847.71,31229425
2026-05-26,8047.51,40802699
2026-05-26,8047.51,40802699
2026-05-27,8228.7,56832099
2026-05-28,8185.29,53241794
2026-05-29,8476.15,80332511
